GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Built 2014 or later,Margin of Error; Total: - Built 2014 or later,Estimate; Total: - Built 2010 to 2013,Margin of Error; Total: - Built 2010 to 2013,Estimate; Total: - Built 2000 to 2009,Margin of Error; Total: - Built 2000 to 2009,Estimate; Total: - Built 1990 to 1999,Margin of Error; Total: - Built 1990 to 1999,Estimate; Total: - Built 1980 to 1989,Margin of Error; Total: - Built 1980 to 1989,Estimate; Total: - Built 1970 to 1979,Margin of Error; Total: - Built 1970 to 1979,Estimate; Total: - Built 1960 to 1969,Margin of Error; Total: - Built 1960 to 1969,Estimate; Total: - Built 1950 to 1959,Margin of Error; Total: - Built 1950 to 1959,Estimate; Total: - Built 1940 to 1949,Margin of Error; Total: - Built 1940 to 1949,Estimate; Total: - Built 1939 or earlier,Margin of Error; Total: - Built 1939 or earlier
1500000US270530201011,270530201011,"Block Group 1, Census Tract 201.01, Hennepin County, Minnesota",446,57,0,9,0,9,20,22,16,18,8,13,34,35,276,58,66,33,0,9,26,23
1500000US270530201012,270530201012,"Block Group 2, Census Tract 201.01, Hennepin County, Minnesota",423,49,0,9,0,9,0,9,10,16,0,9,6,9,162,51,201,56,13,19,31,28
1500000US270530201013,270530201013,"Block Group 3, Census Tract 201.01, Hennepin County, Minnesota",339,48,0,9,0,9,0,9,0,9,28,26,35,28,88,36,146,49,15,17,27,24
1500000US270530201021,270530201021,"Block Group 1, Census Tract 201.02, Hennepin County, Minnesota",361,60,0,9,0,9,16,17,8,13,0,9,6,10,38,31,250,64,14,12,29,29
1500000US270530201022,270530201022,"Block Group 2, Census Tract 201.02, Hennepin County, Minnesota",807,69,0,9,35,42,0,9,81,43,301,77,125,68,18,20,196,58,51,29,0,9
1500000US270530202001,270530202001,"Block Group 1, Census Tract 202, Hennepin County, Minnesota",368,137,0,9,0,9,0,9,0,9,37,40,105,50,187,138,39,45,0,9,0,9
1500000US270530202002,270530202002,"Block Group 2, Census Tract 202, Hennepin County, Minnesota",259,107,0,9,0,9,0,9,23,36,0,9,63,61,96,73,67,62,0,9,10,17
1500000US270530202003,270530202003,"Block Group 3, Census Tract 202, Hennepin County, Minnesota",930,202,0,9,0,9,42,37,66,67,18,30,293,162,376,174,115,79,20,30,0,9
1500000US270530202004,270530202004,"Block Group 4, Census Tract 202, Hennepin County, Minnesota",217,63,0,9,0,9,15,24,1,10,0,9,31,37,114,54,43,49,0,9,13,20
1500000US270530202005,270530202005,"Block Group 5, Census Tract 202, Hennepin County, Minnesota",350,90,0,9,0,9,0,9,0,9,76,55,34,42,142,64,28,44,18,28,52,61
1500000US270530202006,270530202006,"Block Group 6, Census Tract 202, Hennepin County, Minnesota",299,122,0,9,0,9,0,9,21,33,19,31,177,118,68,80,14,24,0,9,0,9
1500000US270530202007,270530202007,"Block Group 7, Census Tract 202, Hennepin County, Minnesota",439,134,0,9,0,9,0,9,40,47,57,70,189,114,136,94,17,20,0,9,0,9
1500000US270530203011,270530203011,"Block Group 1, Census Tract 203.01, Hennepin County, Minnesota",415,42,0,9,0,9,6,9,14,11,39,19,19,18,118,35,207,39,0,9,12,11
1500000US270530203012,270530203012,"Block Group 2, Census Tract 203.01, Hennepin County, Minnesota",501,41,0,9,0,9,0,9,0,9,4,7,116,51,69,26,306,57,0,9,6,9
1500000US270530203021,270530203021,"Block Group 1, Census Tract 203.02, Hennepin County, Minnesota",651,50,0,9,0,9,0,9,36,38,146,52,257,62,68,36,140,46,4,8,0,9
1500000US270530203022,270530203022,"Block Group 2, Census Tract 203.02, Hennepin County, Minnesota",273,42,0,9,0,9,4,8,0,9,12,12,53,26,45,34,129,38,8,11,22,20
1500000US270530203031,270530203031,"Block Group 1, Census Tract 203.03, Hennepin County, Minnesota",285,54,0,9,0,9,12,19,8,12,20,24,7,11,94,48,128,45,10,15,6,11
1500000US270530203032,270530203032,"Block Group 2, Census Tract 203.03, Hennepin County, Minnesota",480,80,0,9,0,9,0,9,9,14,32,42,0,9,181,73,250,69,0,9,8,16
1500000US270530203033,270530203033,"Block Group 3, Census Tract 203.03, Hennepin County, Minnesota",460,72,0,9,0,9,0,9,20,25,0,9,41,44,69,53,305,65,0,9,25,29
1500000US270530203041,270530203041,"Block Group 1, Census Tract 203.04, Hennepin County, Minnesota",601,76,0,9,0,9,0,9,36,38,15,17,169,83,121,63,237,73,23,31,0,9
1500000US270530203042,270530203042,"Block Group 2, Census Tract 203.04, Hennepin County, Minnesota",248,74,0,9,0,9,0,9,0,9,6,9,43,37,46,24,146,65,7,13,0,9
1500000US270530203043,270530203043,"Block Group 3, Census Tract 203.04, Hennepin County, Minnesota",307,77,9,15,0,9,0,9,0,9,25,19,73,66,75,35,112,37,0,9,13,18
1500000US270530204001,270530204001,"Block Group 1, Census Tract 204, Hennepin County, Minnesota",224,66,0,9,0,9,0,9,0,9,0,9,14,22,83,60,68,38,39,35,20,15
1500000US270530204002,270530204002,"Block Group 2, Census Tract 204, Hennepin County, Minnesota",653,115,0,9,0,9,0,9,31,26,59,44,94,74,147,75,315,81,0,9,7,11
1500000US270530204003,270530204003,"Block Group 3, Census Tract 204, Hennepin County, Minnesota",608,89,0,9,0,9,8,13,23,27,37,37,96,39,186,82,258,66,0,9,0,9
1500000US270530204004,270530204004,"Block Group 4, Census Tract 204, Hennepin County, Minnesota",430,75,11,17,0,9,0,9,6,11,9,16,88,66,79,44,156,44,54,33,27,26
1500000US270530205001,270530205001,"Block Group 1, Census Tract 205, Hennepin County, Minnesota",433,77,0,9,0,9,5,9,23,13,47,28,31,24,27,27,83,33,106,50,111,60
1500000US270530205002,270530205002,"Block Group 2, Census Tract 205, Hennepin County, Minnesota",402,73,0,9,0,9,11,17,0,9,43,43,40,38,25,24,194,68,51,26,38,39
1500000US270530205003,270530205003,"Block Group 3, Census Tract 205, Hennepin County, Minnesota",397,62,0,9,0,9,0,9,9,18,22,23,48,35,72,37,228,62,0,9,18,19
1500000US270530206001,270530206001,"Block Group 1, Census Tract 206, Hennepin County, Minnesota",531,53,0,9,0,9,0,9,44,32,98,33,64,33,38,23,227,56,52,26,8,11
1500000US270530206002,270530206002,"Block Group 2, Census Tract 206, Hennepin County, Minnesota",337,55,0,9,5,8,0,9,7,12,17,26,10,10,43,30,229,45,26,17,0,9
1500000US270530207001,270530207001,"Block Group 1, Census Tract 207, Hennepin County, Minnesota",452,72,0,9,0,9,0,9,9,13,25,21,89,31,59,33,244,75,17,15,9,14
1500000US270530207002,270530207002,"Block Group 2, Census Tract 207, Hennepin County, Minnesota",334,62,0,9,8,14,10,15,10,17,0,9,31,29,88,49,134,47,25,23,28,25
1500000US270530207003,270530207003,"Block Group 3, Census Tract 207, Hennepin County, Minnesota",421,68,0,9,0,9,0,9,0,9,123,55,9,14,91,61,198,53,0,9,0,9
1500000US270530207004,270530207004,"Block Group 4, Census Tract 207, Hennepin County, Minnesota",483,67,46,59,14,21,9,16,0,9,0,9,13,20,60,36,267,58,48,27,26,25
1500000US270530208011,270530208011,"Block Group 1, Census Tract 208.01, Hennepin County, Minnesota",464,48,14,14,10,12,0,9,0,9,7,11,25,25,46,28,303,59,45,27,14,15
1500000US270530208012,270530208012,"Block Group 2, Census Tract 208.01, Hennepin County, Minnesota",415,46,0,9,7,10,9,13,0,9,28,24,60,35,36,22,260,49,15,14,0,9
1500000US270530208041,270530208041,"Block Group 1, Census Tract 208.04, Hennepin County, Minnesota",397,73,0,9,0,9,0,9,39,42,122,69,150,63,39,35,37,24,10,16,0,9
1500000US270530208042,270530208042,"Block Group 2, Census Tract 208.04, Hennepin County, Minnesota",425,65,0,9,0,9,0,9,5,10,0,9,0,9,73,55,297,68,11,13,39,33
1500000US270530208043,270530208043,"Block Group 3, Census Tract 208.04, Hennepin County, Minnesota",427,102,0,9,0,9,0,9,11,17,0,9,47,70,19,22,311,64,15,16,24,23
1500000US270530209021,270530209021,"Block Group 1, Census Tract 209.02, Hennepin County, Minnesota",464,45,0,9,0,9,9,12,4,6,0,9,27,19,49,20,309,45,25,16,41,25
1500000US270530209022,270530209022,"Block Group 2, Census Tract 209.02, Hennepin County, Minnesota",436,53,0,9,0,9,0,9,0,9,0,9,13,14,60,31,325,55,31,23,7,9
1500000US270530209031,270530209031,"Block Group 1, Census Tract 209.03, Hennepin County, Minnesota",434,68,0,9,0,9,23,12,0,9,9,15,0,9,29,40,286,72,53,30,34,26
1500000US270530209032,270530209032,"Block Group 2, Census Tract 209.03, Hennepin County, Minnesota",261,58,0,9,0,9,8,12,0,9,0,9,0,9,36,32,77,44,79,51,61,32
1500000US270530209033,270530209033,"Block Group 3, Census Tract 209.03, Hennepin County, Minnesota",554,74,0,9,0,9,58,41,36,30,0,9,37,30,77,35,209,62,120,63,17,19
1500000US270530210011,270530210011,"Block Group 1, Census Tract 210.01, Hennepin County, Minnesota",531,107,0,9,86,76,11,18,0,9,0,9,0,9,42,39,182,106,106,84,104,78
1500000US270530210012,270530210012,"Block Group 2, Census Tract 210.01, Hennepin County, Minnesota",481,96,0,9,0,9,18,29,0,9,27,30,126,85,103,52,181,75,18,30,8,14
1500000US270530210013,270530210013,"Block Group 3, Census Tract 210.01, Hennepin County, Minnesota",315,78,0,9,0,9,0,9,10,16,0,9,22,33,136,71,124,63,0,9,23,28
1500000US270530210014,270530210014,"Block Group 4, Census Tract 210.01, Hennepin County, Minnesota",559,119,0,9,0,9,0,9,59,41,80,58,227,81,107,90,86,61,0,9,0,9
1500000US270530210015,270530210015,"Block Group 5, Census Tract 210.01, Hennepin County, Minnesota",618,90,0,9,0,9,0,9,0,9,14,22,81,80,346,113,158,75,0,9,19,31
1500000US270530210021,270530210021,"Block Group 1, Census Tract 210.02, Hennepin County, Minnesota",895,46,0,9,0,9,41,19,31,18,65,31,169,54,327,63,250,46,8,9,4,6
1500000US270530211001,270530211001,"Block Group 1, Census Tract 211, Hennepin County, Minnesota",247,40,0,9,6,9,4,6,5,8,11,12,22,22,59,25,61,29,35,29,44,23
1500000US270530211002,270530211002,"Block Group 2, Census Tract 211, Hennepin County, Minnesota",598,48,0,9,6,9,48,30,13,11,23,18,47,26,34,26,158,47,122,38,147,39
1500000US270530212001,270530212001,"Block Group 1, Census Tract 212, Hennepin County, Minnesota",389,65,0,9,0,9,10,16,0,9,11,16,52,33,9,15,114,63,159,64,34,23
1500000US270530212002,270530212002,"Block Group 2, Census Tract 212, Hennepin County, Minnesota",384,42,0,9,0,9,0,9,9,14,43,25,10,17,48,29,116,43,61,36,97,43
1500000US270530212003,270530212003,"Block Group 3, Census Tract 212, Hennepin County, Minnesota",455,57,0,9,0,9,0,9,0,9,0,9,0,9,8,13,99,39,245,74,103,33
1500000US270530212004,270530212004,"Block Group 4, Census Tract 212, Hennepin County, Minnesota",339,67,0,9,0,9,10,14,10,17,19,20,32,21,57,31,134,58,29,20,48,50
1500000US270530212005,270530212005,"Block Group 5, Census Tract 212, Hennepin County, Minnesota",400,87,0,9,0,9,0,9,20,22,62,39,139,78,98,58,62,32,19,24,0,9
1500000US270530213001,270530213001,"Block Group 1, Census Tract 213, Hennepin County, Minnesota",1079,121,0,9,0,9,28,23,14,22,323,129,248,125,119,121,239,130,0,9,108,63
1500000US270530213002,270530213002,"Block Group 2, Census Tract 213, Hennepin County, Minnesota",530,105,0,9,0,9,0,9,0,9,146,67,0,9,37,43,74,58,220,93,53,44
1500000US270530213003,270530213003,"Block Group 3, Census Tract 213, Hennepin County, Minnesota",352,79,0,9,0,9,0,9,25,33,0,9,89,78,11,18,26,30,41,40,160,70
1500000US270530213004,270530213004,"Block Group 4, Census Tract 213, Hennepin County, Minnesota",434,83,0,9,0,9,125,48,0,9,0,9,18,29,36,39,84,54,11,20,160,65
1500000US270530214001,270530214001,"Block Group 1, Census Tract 214, Hennepin County, Minnesota",471,83,0,9,0,9,0,9,12,14,0,9,29,24,15,20,211,83,158,65,46,43
1500000US270530214002,270530214002,"Block Group 2, Census Tract 214, Hennepin County, Minnesota",487,71,0,9,0,9,0,9,0,9,0,9,7,10,47,32,177,56,186,75,70,48
1500000US270530214003,270530214003,"Block Group 3, Census Tract 214, Hennepin County, Minnesota",370,69,0,9,0,9,10,15,10,16,20,26,138,51,19,24,86,48,39,32,48,38
1500000US270530215011,270530215011,"Block Group 1, Census Tract 215.01, Hennepin County, Minnesota",662,93,7,11,0,9,25,27,27,33,82,34,162,82,241,81,96,45,11,17,11,18
1500000US270530215012,270530215012,"Block Group 2, Census Tract 215.01, Hennepin County, Minnesota",475,76,0,9,0,9,0,9,0,9,0,9,104,74,340,63,19,22,12,20,0,9
1500000US270530215013,270530215013,"Block Group 3, Census Tract 215.01, Hennepin County, Minnesota",553,73,0,9,0,9,35,26,18,21,49,35,141,59,202,77,85,31,23,20,0,9
1500000US270530215021,270530215021,"Block Group 1, Census Tract 215.02, Hennepin County, Minnesota",642,129,0,9,6,10,140,58,49,63,12,18,116,87,142,79,159,50,18,29,0,9
1500000US270530215022,270530215022,"Block Group 2, Census Tract 215.02, Hennepin County, Minnesota",306,89,0,9,0,9,0,9,0,9,47,42,149,89,31,29,73,33,6,9,0,9
1500000US270530215023,270530215023,"Block Group 3, Census Tract 215.02, Hennepin County, Minnesota",659,109,0,9,0,9,130,42,57,37,137,66,146,94,110,94,26,25,16,17,37,56
1500000US270530215031,270530215031,"Block Group 1, Census Tract 215.03, Hennepin County, Minnesota",695,119,0,9,0,9,0,9,25,22,112,88,206,94,264,93,60,48,14,23,14,22
1500000US270530215032,270530215032,"Block Group 2, Census Tract 215.03, Hennepin County, Minnesota",464,81,0,9,0,9,0,9,0,9,118,56,38,37,259,105,49,46,0,9,0,9
1500000US270530215033,270530215033,"Block Group 3, Census Tract 215.03, Hennepin County, Minnesota",473,89,0,9,0,9,0,9,30,28,13,22,128,56,263,81,20,19,6,12,13,21
1500000US270530215034,270530215034,"Block Group 4, Census Tract 215.03, Hennepin County, Minnesota",435,116,0,9,0,9,7,12,0,9,13,22,84,62,303,110,28,32,0,9,0,9
1500000US270530215041,270530215041,"Block Group 1, Census Tract 215.04, Hennepin County, Minnesota",476,78,0,9,0,9,0,9,6,11,18,20,93,40,203,62,137,43,10,16,9,15
1500000US270530215042,270530215042,"Block Group 2, Census Tract 215.04, Hennepin County, Minnesota",371,63,0,9,0,9,0,9,20,23,79,57,123,50,143,41,0,9,6,12,0,9
1500000US270530215043,270530215043,"Block Group 3, Census Tract 215.04, Hennepin County, Minnesota",277,45,0,9,0,9,0,9,0,9,0,9,13,17,264,43,0,9,0,9,0,9
1500000US270530215044,270530215044,"Block Group 4, Census Tract 215.04, Hennepin County, Minnesota",342,50,0,9,0,9,0,9,0,9,0,9,10,16,259,56,73,44,0,9,0,9
1500000US270530215051,270530215051,"Block Group 1, Census Tract 215.05, Hennepin County, Minnesota",531,71,0,9,7,12,0,9,14,16,100,45,72,40,311,57,27,24,0,9,0,9
1500000US270530215052,270530215052,"Block Group 2, Census Tract 215.05, Hennepin County, Minnesota",727,90,0,9,0,9,0,9,17,22,32,32,286,91,313,61,41,44,22,23,16,18
1500000US270530215053,270530215053,"Block Group 3, Census Tract 215.05, Hennepin County, Minnesota",325,66,0,9,0,9,0,9,18,16,20,20,203,63,71,37,0,9,5,8,8,13
1500000US270530215054,270530215054,"Block Group 4, Census Tract 215.05, Hennepin County, Minnesota",302,70,0,9,0,9,8,11,0,9,19,21,89,48,107,52,68,45,0,9,11,17
1500000US270530216011,270530216011,"Block Group 1, Census Tract 216.01, Hennepin County, Minnesota",439,51,0,9,0,9,8,13,0,9,11,18,50,39,266,64,65,33,7,11,32,29
1500000US270530216012,270530216012,"Block Group 2, Census Tract 216.01, Hennepin County, Minnesota",930,83,10,15,0,9,158,43,86,51,82,52,104,58,201,58,245,69,16,18,28,24
1500000US270530216013,270530216013,"Block Group 3, Census Tract 216.01, Hennepin County, Minnesota",544,60,0,9,0,9,85,33,59,39,48,23,170,44,117,42,15,18,33,19,17,13
1500000US270530216021,270530216021,"Block Group 1, Census Tract 216.02, Hennepin County, Minnesota",713,102,9,15,0,9,92,86,131,72,110,52,136,75,156,69,66,59,13,20,0,9
1500000US270530216022,270530216022,"Block Group 2, Census Tract 216.02, Hennepin County, Minnesota",600,111,47,73,0,9,29,33,44,70,107,51,82,66,100,53,113,43,41,50,37,41
1500000US270530216023,270530216023,"Block Group 3, Census Tract 216.02, Hennepin County, Minnesota",415,71,0,9,0,9,18,28,0,9,0,9,125,81,139,65,65,55,39,37,29,32
1500000US270530216024,270530216024,"Block Group 4, Census Tract 216.02, Hennepin County, Minnesota",324,93,0,9,0,9,0,9,0,9,0,9,22,25,208,108,94,50,0,9,0,9
1500000US270530216025,270530216025,"Block Group 5, Census Tract 216.02, Hennepin County, Minnesota",212,78,0,9,0,9,11,17,0,9,28,24,32,36,82,66,59,46,0,9,0,9
1500000US270530216026,270530216026,"Block Group 6, Census Tract 216.02, Hennepin County, Minnesota",421,88,0,9,0,9,17,27,0,9,14,25,150,82,87,43,140,72,0,9,13,21
1500000US270530217001,270530217001,"Block Group 1, Census Tract 217, Hennepin County, Minnesota",393,109,0,9,0,9,0,9,0,9,17,31,45,35,30,26,244,121,27,30,30,33
1500000US270530217002,270530217002,"Block Group 2, Census Tract 217, Hennepin County, Minnesota",338,111,0,9,0,9,0,9,0,9,16,25,35,29,27,30,142,106,98,60,20,34
1500000US270530217003,270530217003,"Block Group 3, Census Tract 217, Hennepin County, Minnesota",520,87,0,9,0,9,127,61,104,61,0,9,36,46,54,44,174,87,19,30,6,15
1500000US270530217004,270530217004,"Block Group 4, Census Tract 217, Hennepin County, Minnesota",561,85,0,9,0,9,17,27,0,9,38,45,119,52,99,61,264,64,24,20,0,9
1500000US270530217005,270530217005,"Block Group 5, Census Tract 217, Hennepin County, Minnesota",403,56,0,9,0,9,0,9,0,9,0,9,70,56,97,64,159,75,63,42,14,24
1500000US270530218001,270530218001,"Block Group 1, Census Tract 218, Hennepin County, Minnesota",505,61,0,9,0,9,55,55,83,68,103,47,46,31,62,41,41,26,30,27,85,44
1500000US270530218002,270530218002,"Block Group 2, Census Tract 218, Hennepin County, Minnesota",580,59,0,9,9,14,40,31,0,9,6,11,32,26,77,38,243,63,113,46,60,38
1500000US270530219001,270530219001,"Block Group 1, Census Tract 219, Hennepin County, Minnesota",638,75,99,51,9,14,61,33,17,18,118,45,91,47,45,29,126,45,7,12,65,64
1500000US270530219002,270530219002,"Block Group 2, Census Tract 219, Hennepin County, Minnesota",326,69,8,13,0,9,8,13,0,9,22,18,46,43,125,53,61,34,26,26,30,24
1500000US270530219003,270530219003,"Block Group 3, Census Tract 219, Hennepin County, Minnesota",571,70,0,9,0,9,9,15,39,41,33,30,117,40,140,65,153,56,56,40,24,22
1500000US270530220001,270530220001,"Block Group 1, Census Tract 220, Hennepin County, Minnesota",600,47,0,9,40,18,95,24,60,26,260,43,47,34,0,9,74,30,13,12,11,12
1500000US270530220002,270530220002,"Block Group 2, Census Tract 220, Hennepin County, Minnesota",440,45,0,9,0,9,0,9,18,15,53,25,274,56,44,25,31,19,6,9,14,13
1500000US270530221011,270530221011,"Block Group 1, Census Tract 221.01, Hennepin County, Minnesota",514,68,29,16,0,9,0,9,0,9,0,9,34,32,43,41,236,68,142,65,30,25
1500000US270530221012,270530221012,"Block Group 2, Census Tract 221.01, Hennepin County, Minnesota",856,88,0,9,17,21,17,14,74,42,133,54,207,78,125,62,132,59,127,66,24,22
1500000US270530221021,270530221021,"Block Group 1, Census Tract 221.02, Hennepin County, Minnesota",645,61,0,9,0,9,0,9,0,9,14,22,272,65,112,55,193,59,8,12,46,30
