GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,BTTRA,BTBGA,NAME_E,JOHE001,JOHE002,JOHE003,JOHE004,JOHE005,JOHE006,JOHE007,JOHE008,JOHE009,JOHE010,JOHE011,JOHE012,JOHE013,JOHE014,JOHE015,JOHE016,JOHE017,JS4E001,JS4E002,JS4E003,JS4E004,JS4E005,JS4E006,JS4E007,JS4E008,JS4E009,JS4E010,JS4E011,JS4E012,JS4E013,JS4E014,JS4E015,JS4E016,JS4E017,JS4E018,JS4E019,JS4E020,JS4E021,JS4E022,JS4E023,JS4E024,JTGE001,JTGE002,JTGE003,JTGE004,JTGE005,JTGE006,JTGE007,JTGE008,JTGE009,JTGE010,JTGE011,JTGE012,JTGE013,JTGE014,JTGE015,JTGE016,JTGE017,JTGE018,JTGE019,JTGE020,JTGE021,JTGE022,JTGE023,JTGE024,JTGE025,NAME_M,JOHM001,JOHM002,JOHM003,JOHM004,JOHM005,JOHM006,JOHM007,JOHM008,JOHM009,JOHM010,JOHM011,JOHM012,JOHM013,JOHM014,JOHM015,JOHM016,JOHM017,JS4M001,JS4M002,JS4M003,JS4M004,JS4M005,JS4M006,JS4M007,JS4M008,JS4M009,JS4M010,JS4M011,JS4M012,JS4M013,JS4M014,JS4M015,JS4M016,JS4M017,JS4M018,JS4M019,JS4M020,JS4M021,JS4M022,JS4M023,JS4M024,JTGM001,JTGM002,JTGM003,JTGM004,JTGM005,JTGM006,JTGM007,JTGM008,JTGM009,JTGM010,JTGM011,JTGM012,JTGM013,JTGM014,JTGM015,JTGM016,JTGM017,JTGM018,JTGM019,JTGM020,JTGM021,JTGM022,JTGM023,JTGM024,JTGM025
"G27016300714002","2006-2010",,,"Minnesota","27","Washington County","163",,,"071400","2",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 714, Washington County, Minnesota",379,0,31,20,14,0,24,39,43,21,56,32,37,62,0,0,0,55,55,0,0,0,0,0,0,0,0,0,0,0,21,0,17,0,0,0,0,0,17,0,0,324,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,50,100,144,19,0,0,0,0,0,"Block Group 2, Census Tract 714, Washington County, Minnesota",61,93,29,21,21,93,26,37,38,23,40,29,27,36,93,93,93,35,35,93,93,93,93,93,93,93,93,93,93,93,34,93,27,93,93,93,93,93,19,93,93,55,93,93,93,93,93,93,93,93,93,93,93,93,93,17,93,36,45,57,17,93,93,93,93,93
"G27016300714003","2006-2010",,,"Minnesota","27","Washington County","163",,,"071400","3",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 714, Washington County, Minnesota",432,16,2,11,4,35,6,10,4,24,60,47,66,69,40,33,5,27,14,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,4,0,0,0,0,13,405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,27,47,44,124,27,125,4,0,"Block Group 3, Census Tract 714, Washington County, Minnesota",63,23,4,16,5,52,6,15,5,19,34,34,40,52,31,27,6,25,19,93,93,93,93,93,93,93,93,93,93,93,93,17,93,93,93,8,93,93,93,93,20,63,93,93,93,93,93,93,93,93,93,93,93,93,93,93,3,6,28,35,27,60,23,57,4,93
"G27016300714004","2006-2010",,,"Minnesota","27","Washington County","163",,,"071400","4",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 4, Census Tract 714, Washington County, Minnesota",755,13,0,0,29,0,9,42,30,24,142,72,150,93,128,0,23,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,710,0,0,0,23,0,0,19,8,9,0,0,0,0,0,63,60,88,253,131,56,0,0,0,0,"Block Group 4, Census Tract 714, Washington County, Minnesota",121,20,93,93,26,93,14,59,29,27,84,51,69,79,71,93,25,47,47,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,47,93,93,119,93,93,93,25,93,93,22,13,14,93,93,93,93,93,57,40,55,97,86,61,93,93,93,93
"G27016300714005","2006-2010",,,"Minnesota","27","Washington County","163",,,"071400","5",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 5, Census Tract 714, Washington County, Minnesota",537,12,11,0,0,49,19,10,46,0,50,111,115,103,0,11,0,35,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,502,14,0,26,10,0,0,0,0,0,0,0,0,0,0,28,117,153,122,0,21,11,0,0,0,"Block Group 5, Census Tract 714, Washington County, Minnesota",76,18,17,93,93,38,28,16,31,93,32,60,63,62,93,18,93,40,40,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,40,93,93,93,73,21,93,29,16,93,93,93,93,93,93,93,93,93,93,32,72,58,58,93,32,16,93,93,93
"G27016509501001","2006-2010",,,"Minnesota","27","Watonwan County","165",,,"950100","1",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 9501, Watonwan County, Minnesota",204,9,7,13,3,15,21,16,18,5,17,22,32,10,7,4,5,13,8,0,0,0,0,4,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,5,191,4,4,0,4,6,10,4,11,7,14,4,8,11,22,7,17,16,14,9,3,2,8,6,0,"Block Group 1, Census Tract 9501, Watonwan County, Minnesota",37,7,5,13,4,12,11,10,14,5,14,12,19,7,6,4,5,10,7,93,93,93,93,7,93,93,93,93,93,3,3,93,93,93,2,93,93,93,93,93,7,35,8,4,93,7,5,12,6,8,5,13,6,7,7,11,6,10,15,13,7,4,3,10,5,93
"G27016509501002","2006-2010",,,"Minnesota","27","Watonwan County","165",,,"950100","2",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 9501, Watonwan County, Minnesota",245,0,6,10,10,16,4,7,14,15,39,30,61,14,11,4,4,22,17,0,0,0,0,0,0,0,0,0,3,0,2,5,0,2,0,5,0,0,0,0,5,223,0,2,0,0,2,0,0,2,16,18,6,6,16,39,13,30,9,15,18,13,11,3,4,0,"Block Group 2, Census Tract 9501, Watonwan County, Minnesota",33,93,6,9,7,10,4,7,13,9,18,17,24,12,7,5,7,9,9,93,93,93,93,93,93,93,93,93,5,93,3,6,93,3,93,6,93,93,93,93,6,33,93,4,93,93,3,93,93,3,11,10,6,6,10,14,9,13,9,13,13,10,12,4,5,93
"G27016509501003","2006-2010",,,"Minnesota","27","Watonwan County","165",,,"950100","3",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 9501, Watonwan County, Minnesota",585,52,25,22,65,13,29,53,45,41,83,55,52,42,0,3,5,176,167,0,0,6,9,12,0,0,0,37,32,9,22,6,0,19,0,15,0,0,0,0,9,409,31,46,5,0,0,0,26,18,16,31,28,30,27,50,19,74,0,8,0,0,0,0,0,0,"Block Group 3, Census Tract 9501, Watonwan County, Minnesota",66,40,18,17,38,12,23,28,31,34,39,35,29,24,93,6,7,56,56,93,93,9,12,12,93,93,93,28,28,13,17,10,93,22,93,22,93,93,93,93,9,69,18,40,7,93,93,93,31,18,13,25,18,18,17,31,15,31,93,9,93,93,93,93,93,93
"G27016509501004","2006-2010",,,"Minnesota","27","Watonwan County","165",,,"950100","4",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 4, Census Tract 9501, Watonwan County, Minnesota",338,46,36,28,12,25,15,31,10,14,17,54,11,29,0,4,6,119,119,0,12,21,8,8,0,0,6,19,9,8,0,19,9,0,0,0,0,0,0,0,0,219,0,0,0,0,0,0,4,17,9,7,5,40,15,45,20,19,28,0,6,0,0,0,0,4,"Block Group 4, Census Tract 9501, Watonwan County, Minnesota",62,25,32,24,13,20,14,29,12,15,16,29,11,21,93,7,8,46,46,93,16,29,11,10,93,93,8,21,13,9,93,13,11,93,93,93,93,93,93,93,93,49,93,93,93,93,93,93,6,13,12,9,9,33,21,27,14,14,22,93,8,93,93,93,93,6
"G27016509502001","2006-2010",,,"Minnesota","27","Watonwan County","165",,,"950200","1",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 9502, Watonwan County, Minnesota",498,54,36,0,90,20,46,0,0,49,84,35,41,24,19,0,0,100,100,0,0,0,12,0,0,26,0,20,0,0,0,15,0,0,27,0,0,0,0,0,0,398,20,11,0,0,0,24,0,13,11,36,18,71,26,20,48,19,24,38,0,10,0,9,0,0,"Block Group 1, Census Tract 9502, Watonwan County, Minnesota",85,38,28,93,61,21,48,93,93,36,47,32,38,25,32,93,93,60,60,93,93,93,19,93,93,30,93,20,93,93,93,19,93,93,40,93,93,93,93,93,93,79,29,18,93,93,93,26,93,20,17,33,23,48,22,21,29,32,28,33,93,18,93,14,93,93
"G27016509502002","2006-2010",,,"Minnesota","27","Watonwan County","165",,,"950200","2",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 9502, Watonwan County, Minnesota",514,35,16,9,30,39,22,24,44,55,36,71,45,44,22,9,13,107,91,0,13,0,0,0,0,25,0,14,0,0,5,0,14,0,9,11,0,0,0,0,16,407,9,0,0,0,42,11,0,18,39,67,18,20,45,31,32,14,40,0,0,21,0,0,0,0,"Block Group 2, Census Tract 9502, Watonwan County, Minnesota",98,29,25,15,34,42,26,29,65,53,38,51,37,41,24,13,22,50,49,93,21,93,93,93,93,38,93,24,93,93,10,93,23,93,15,19,93,93,93,93,25,100,16,93,93,93,52,17,93,29,37,70,27,24,42,35,29,17,36,93,93,27,93,93,93,93
