GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,BTTRA,BTBGA,NAME_E,JOHE001,JOHE002,JOHE003,JOHE004,JOHE005,JOHE006,JOHE007,JOHE008,JOHE009,JOHE010,JOHE011,JOHE012,JOHE013,JOHE014,JOHE015,JOHE016,JOHE017,JS4E001,JS4E002,JS4E003,JS4E004,JS4E005,JS4E006,JS4E007,JS4E008,JS4E009,JS4E010,JS4E011,JS4E012,JS4E013,JS4E014,JS4E015,JS4E016,JS4E017,JS4E018,JS4E019,JS4E020,JS4E021,JS4E022,JS4E023,JS4E024,JTGE001,JTGE002,JTGE003,JTGE004,JTGE005,JTGE006,JTGE007,JTGE008,JTGE009,JTGE010,JTGE011,JTGE012,JTGE013,JTGE014,JTGE015,JTGE016,JTGE017,JTGE018,JTGE019,JTGE020,JTGE021,JTGE022,JTGE023,JTGE024,JTGE025,NAME_M,JOHM001,JOHM002,JOHM003,JOHM004,JOHM005,JOHM006,JOHM007,JOHM008,JOHM009,JOHM010,JOHM011,JOHM012,JOHM013,JOHM014,JOHM015,JOHM016,JOHM017,JS4M001,JS4M002,JS4M003,JS4M004,JS4M005,JS4M006,JS4M007,JS4M008,JS4M009,JS4M010,JS4M011,JS4M012,JS4M013,JS4M014,JS4M015,JS4M016,JS4M017,JS4M018,JS4M019,JS4M020,JS4M021,JS4M022,JS4M023,JS4M024,JTGM001,JTGM002,JTGM003,JTGM004,JTGM005,JTGM006,JTGM007,JTGM008,JTGM009,JTGM010,JTGM011,JTGM012,JTGM013,JTGM014,JTGM015,JTGM016,JTGM017,JTGM018,JTGM019,JTGM020,JTGM021,JTGM022,JTGM023,JTGM024,JTGM025
"G27000107701001","2006-2010",,,"Minnesota","27","Aitkin County","001",,,"770100","1",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 7701, Aitkin County, Minnesota",505,46,52,33,17,24,25,75,26,39,41,57,32,17,11,5,5,43,27,0,0,0,0,0,0,0,2,0,0,0,0,6,0,0,0,0,19,0,0,0,16,462,6,0,0,6,6,0,2,0,2,17,24,14,25,19,28,35,37,43,36,67,45,32,9,9,"Block Group 1, Census Tract 7701, Aitkin County, Minnesota",56,22,19,13,9,11,17,31,13,16,16,22,16,10,8,5,7,17,12,93,93,93,93,93,93,93,3,93,93,93,93,10,93,93,93,93,9,93,93,93,11,53,5,93,93,4,5,93,3,93,3,15,19,15,14,11,15,15,16,17,18,19,19,17,9,8
"G27000107701002","2006-2010",,,"Minnesota","27","Aitkin County","001",,,"770100","2",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 7701, Aitkin County, Minnesota",327,16,21,14,7,36,11,20,15,19,52,56,24,15,2,14,5,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,307,5,0,0,0,5,0,0,0,10,0,10,0,8,18,18,19,17,80,48,47,14,0,6,2,"Block Group 2, Census Tract 7701, Aitkin County, Minnesota",48,10,11,11,6,15,8,10,12,10,24,26,14,12,3,10,6,14,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,14,47,8,93,93,93,5,93,93,93,9,93,9,93,5,15,9,11,11,27,17,24,11,93,7,3
"G27000107701003","2006-2010",,,"Minnesota","27","Aitkin County","001",,,"770100","3",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 7701, Aitkin County, Minnesota",327,13,25,22,17,17,16,15,24,19,54,24,12,46,15,5,3,33,19,0,0,0,0,5,0,2,6,0,0,0,0,0,0,0,0,6,0,0,0,0,14,294,0,1,0,1,2,0,6,6,10,5,2,19,13,28,12,28,17,23,54,34,19,14,0,0,"Block Group 3, Census Tract 7701, Aitkin County, Minnesota",42,11,15,16,14,10,12,9,15,11,21,16,7,38,13,5,4,16,12,93,93,93,93,8,93,3,7,93,93,93,93,93,93,93,93,6,93,93,93,93,10,42,93,3,93,3,3,93,8,5,11,5,3,16,11,18,11,17,11,13,37,17,17,11,93,93
"G27000107702001","2006-2010",,,"Minnesota","27","Aitkin County","001",,,"770200","1",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 7702, Aitkin County, Minnesota",353,10,25,50,11,47,31,23,13,33,33,20,25,32,0,0,0,16,14,0,0,0,0,9,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2,337,4,5,0,2,0,0,0,6,28,9,4,19,0,76,24,62,13,17,51,12,0,5,0,0,"Block Group 1, Census Tract 7702, Aitkin County, Minnesota",65,9,15,25,13,27,20,15,12,18,18,16,17,46,93,93,93,15,15,93,93,93,93,13,93,93,93,93,93,93,93,93,93,8,93,93,93,93,93,93,3,64,7,6,93,4,93,93,93,6,17,6,5,14,93,48,13,27,8,13,23,13,93,8,93,93
"G27000107702002","2006-2010",,,"Minnesota","27","Aitkin County","001",,,"770200","2",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 7702, Aitkin County, Minnesota",260,17,17,19,13,24,28,17,9,21,39,26,15,13,0,2,0,26,4,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,22,234,7,8,4,3,0,0,5,0,5,7,10,5,2,15,14,35,22,39,18,19,15,1,0,0,"Block Group 2, Census Tract 7702, Aitkin County, Minnesota",50,10,12,15,9,18,20,14,13,15,18,14,9,12,93,3,93,16,5,93,93,93,93,93,93,93,93,93,93,93,93,3,3,93,93,93,93,93,93,93,16,48,6,9,7,4,93,93,5,93,5,8,8,5,3,13,12,17,16,18,10,12,14,4,93,93
"G27000107702003","2006-2010",,,"Minnesota","27","Aitkin County","001",,,"770200","3",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 7702, Aitkin County, Minnesota",445,49,81,29,37,32,25,21,40,13,26,45,24,10,10,0,3,175,164,16,18,0,20,0,0,58,5,12,10,0,0,0,10,0,9,0,6,0,0,0,11,270,6,0,0,2,0,2,16,9,17,19,28,3,0,40,8,39,12,39,17,10,0,2,1,0,"Block Group 3, Census Tract 7702, Aitkin County, Minnesota",85,33,60,22,20,19,21,19,25,8,18,27,18,8,8,93,4,64,64,25,16,93,11,93,93,54,5,16,13,93,93,93,13,93,16,93,7,93,93,93,12,52,6,93,93,3,93,3,13,9,17,12,18,6,93,23,7,25,10,21,13,6,93,3,3,93
"G27000107703001","2006-2010",,,"Minnesota","27","Aitkin County","001",,,"770300","1",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 7703, Aitkin County, Minnesota",760,120,39,85,63,58,75,76,51,25,14,35,61,28,17,13,0,422,368,27,24,25,57,15,32,39,24,19,10,0,17,0,35,9,6,8,6,0,12,3,54,338,4,4,0,3,8,0,9,16,3,0,2,13,14,103,28,12,23,74,11,11,0,0,0,0,"Block Group 1, Census Tract 7703, Aitkin County, Minnesota",86,51,23,38,30,34,48,60,24,17,14,24,33,25,17,16,93,73,78,34,25,21,41,18,19,28,26,16,11,93,16,93,38,12,9,11,9,93,12,5,58,57,6,6,93,4,11,93,13,13,6,93,4,13,14,35,24,10,19,31,16,13,93,93,93,93
"G27000107703002","2006-2010",,,"Minnesota","27","Aitkin County","001",,,"770300","2",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 7703, Aitkin County, Minnesota",432,60,54,27,33,20,20,8,50,23,42,46,25,10,3,11,0,166,150,0,0,0,5,0,0,18,0,0,0,4,39,22,8,11,27,9,7,0,0,0,16,266,7,0,6,0,0,0,0,43,8,6,4,5,17,55,37,14,36,11,3,14,0,0,0,0,"Block Group 2, Census Tract 7703, Aitkin County, Minnesota",70,38,31,19,17,18,17,10,49,21,30,37,20,13,6,18,93,54,56,93,93,93,8,93,93,19,93,93,93,7,28,21,13,12,34,12,10,93,93,93,15,72,10,93,10,93,93,93,93,35,11,9,6,9,16,29,29,17,46,9,6,19,93,93,93,93
"G27000107703003","2006-2010",,,"Minnesota","27","Aitkin County","001",,,"770300","3",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 7703, Aitkin County, Minnesota",501,26,19,12,27,25,34,30,51,0,101,44,53,38,11,14,16,114,88,0,0,0,0,5,0,0,0,0,0,20,13,0,0,24,12,5,0,0,9,0,26,387,6,12,0,0,2,0,0,0,9,6,0,0,19,57,19,47,24,40,22,72,20,26,0,6,"Block Group 3, Census Tract 7703, Aitkin County, Minnesota",75,20,15,16,15,25,22,22,35,93,37,27,30,27,13,14,18,54,42,93,93,93,93,8,93,93,93,93,93,30,16,93,93,18,13,9,93,93,13,93,22,66,9,13,93,93,5,93,93,93,13,9,93,93,19,32,17,30,14,21,18,26,15,22,93,7
"G27000107704001","2006-2010",,,"Minnesota","27","Aitkin County","001",,,"770400","1",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 7704, Aitkin County, Minnesota",557,88,63,39,97,28,48,14,14,5,68,30,19,24,4,7,9,172,141,6,0,10,11,8,0,21,24,0,0,0,13,0,30,0,8,8,0,2,0,0,31,385,8,9,43,17,13,7,2,3,24,17,23,19,6,49,23,23,8,25,35,13,14,2,0,2,"Block Group 1, Census Tract 7704, Aitkin County, Minnesota",89,32,32,21,59,18,32,12,10,5,41,21,12,20,4,10,12,59,54,6,93,12,8,6,93,27,16,93,93,93,19,93,36,93,11,9,93,6,93,93,24,75,10,10,52,28,12,6,3,5,15,13,18,11,8,19,16,13,6,16,23,12,13,3,93,3
"G27000107704002","2006-2010",,,"Minnesota","27","Aitkin County","001",,,"770400","2",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 7704, Aitkin County, Minnesota",604,13,34,44,75,52,47,37,53,30,55,70,51,26,14,3,0,44,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,19,0,0,0,19,560,2,13,17,8,4,3,9,18,10,18,20,14,18,41,33,44,23,64,62,87,41,11,0,0,"Block Group 2, Census Tract 7704, Aitkin County, Minnesota",76,9,14,21,31,21,21,18,21,16,22,35,27,14,11,4,93,21,17,93,93,93,93,93,93,93,93,93,93,93,93,93,93,6,4,93,16,93,93,93,14,71,3,9,16,7,4,4,8,14,8,23,18,10,14,17,15,21,12,33,29,33,17,8,93,93
"G27000107704003","2006-2010",,,"Minnesota","27","Aitkin County","001",,,"770400","3",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 7704, Aitkin County, Minnesota",289,29,19,24,36,14,16,25,14,37,26,16,11,11,7,2,2,55,47,0,0,0,0,0,2,0,0,0,0,0,1,0,37,0,0,0,2,5,0,0,8,234,2,5,8,10,0,0,0,0,1,3,0,13,10,40,16,39,13,34,23,13,4,0,0,0,"Block Group 3, Census Tract 7704, Aitkin County, Minnesota",59,23,12,14,20,7,9,14,10,32,14,9,7,8,11,3,5,34,33,93,93,93,93,93,3,93,93,93,93,93,2,93,33,93,93,93,3,5,93,93,7,55,3,6,11,11,93,93,93,93,3,5,93,9,7,16,14,26,10,18,17,7,6,93,93,93
"G27000107905011","2006-2010",,,"Minnesota","27","Aitkin County","001",,,"790501","1",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 7905.01, Aitkin County, Minnesota",431,25,25,15,50,24,27,24,8,54,19,67,57,15,8,13,0,24,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,18,407,11,0,0,0,2,0,2,6,18,8,11,3,14,44,48,82,58,26,17,22,25,0,0,10,"Block Group 1, Census Tract 7905.01, Aitkin County, Minnesota",78,17,20,12,49,16,18,18,8,32,13,34,24,14,10,14,93,26,5,93,93,93,93,93,93,93,93,3,93,93,93,93,93,93,93,93,4,93,93,93,25,73,13,93,93,93,3,93,4,7,15,7,15,4,9,22,26,31,50,19,14,18,19,93,93,15
"G27000107905012","2006-2010",,,"Minnesota","27","Aitkin County","001",,,"790501","2",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 7905.01, Aitkin County, Minnesota",601,34,24,108,38,33,40,19,77,29,66,48,60,16,5,4,0,105,90,0,0,0,0,0,0,0,59,0,0,12,0,6,0,0,0,10,3,0,0,0,15,496,5,0,2,3,3,2,0,22,4,0,2,20,6,48,48,37,27,77,63,65,32,30,0,0,"Block Group 2, Census Tract 7905.01, Aitkin County, Minnesota",113,14,16,83,21,23,16,16,29,19,47,18,27,10,7,5,93,84,84,93,93,93,93,93,93,93,80,93,93,12,93,9,93,93,93,13,5,93,93,93,12,71,6,93,4,4,5,3,93,19,5,93,3,14,7,25,44,19,19,31,26,30,20,17,93,93
"G27000107905021","2006-2010",,,"Minnesota","27","Aitkin County","001",,,"790502","1",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 7905.02, Aitkin County, Minnesota",573,35,11,19,12,31,38,67,47,46,98,55,41,41,16,16,0,26,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,9,547,2,0,0,0,0,11,0,2,0,9,0,11,8,27,55,28,83,62,35,93,53,48,2,18,"Block Group 1, Census Tract 7905.02, Aitkin County, Minnesota",61,24,9,17,11,24,27,42,24,29,40,25,22,25,12,18,93,22,20,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,20,93,93,93,8,62,4,93,93,93,93,12,93,4,93,14,93,12,11,25,33,17,43,32,23,28,32,26,3,18
"G27000107905022","2006-2010",,,"Minnesota","27","Aitkin County","001",,,"790502","2",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 7905.02, Aitkin County, Minnesota",514,0,26,26,49,23,27,37,24,7,61,69,90,48,10,8,9,30,24,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,11,0,5,0,0,0,6,484,0,11,0,0,0,3,0,0,0,0,8,13,0,16,22,59,54,51,43,99,60,36,3,6,"Block Group 2, Census Tract 7905.02, Aitkin County, Minnesota",76,93,15,20,22,14,15,23,16,7,24,48,31,26,10,9,9,21,20,93,93,93,93,93,93,93,93,7,93,93,93,93,4,93,16,93,8,93,93,93,6,74,93,10,93,93,93,5,93,93,93,93,12,14,93,13,14,41,28,20,28,31,21,18,5,7
"G27000107905023","2006-2010",,,"Minnesota","27","Aitkin County","001",,,"790502","3",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 7905.02, Aitkin County, Minnesota",424,16,16,29,46,16,17,21,26,18,58,70,32,22,19,9,9,23,12,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,3,4,0,0,11,401,0,6,4,0,0,2,0,4,2,2,7,22,2,18,19,61,42,71,34,58,18,20,6,3,"Block Group 3, Census Tract 7905.02, Aitkin County, Minnesota",55,11,10,13,25,12,12,18,13,11,31,33,17,14,15,10,11,12,10,93,93,93,93,93,93,93,93,93,93,4,93,93,93,3,93,93,6,6,93,93,9,54,93,7,7,93,93,3,93,5,4,3,9,15,4,21,15,28,26,25,15,22,11,13,6,5
"G27000300501071","2006-2010",,,"Minnesota","27","Anoka County","003",,,"050107","1",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 501.07, Anoka County, Minnesota",1070,68,30,40,122,38,57,28,47,26,63,138,252,95,25,16,25,138,115,0,0,0,45,0,0,0,0,0,0,0,0,0,7,0,0,19,16,28,0,0,23,932,30,17,9,10,22,13,20,18,33,25,0,0,11,46,9,61,176,211,114,69,29,9,0,0,"Block Group 1, Census Tract 501.07, Anoka County, Minnesota",55,74,28,33,85,37,38,23,39,28,44,53,91,50,30,19,39,90,78,93,93,93,65,93,93,93,93,93,93,93,93,93,12,93,93,23,19,40,93,93,31,106,46,19,15,15,33,22,21,22,30,24,93,93,17,31,14,42,63,85,52,42,26,15,93,93
"G27000300501081","2006-2010",,,"Minnesota","27","Anoka County","003",,,"050108","1",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 501.08, Anoka County, Minnesota",1210,68,29,42,2,44,48,48,36,36,83,184,315,182,62,21,10,172,163,0,0,0,0,0,0,0,12,23,3,0,14,0,38,11,0,13,0,31,0,18,9,1038,0,0,0,0,0,8,0,0,0,0,2,13,4,36,60,210,134,236,138,138,15,44,0,0,"Block Group 1, Census Tract 501.08, Anoka County, Minnesota",94,64,20,28,4,30,33,31,25,25,43,64,90,71,35,19,17,69,69,93,93,93,93,93,93,93,17,25,5,93,16,93,60,13,93,20,93,26,93,20,16,85,93,93,93,93,93,12,93,93,93,93,4,16,5,28,30,79,63,68,49,49,13,49,93,93
"G27000300501082","2006-2010",,,"Minnesota","27","Anoka County","003",,,"050108","2",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 501.08, Anoka County, Minnesota",472,33,13,11,8,25,17,30,20,9,69,158,49,23,0,0,7,68,68,11,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,24,0,0,0,0,404,11,10,0,0,0,0,0,0,0,0,12,0,0,7,65,103,53,79,16,17,7,12,12,0,"Block Group 2, Census Tract 501.08, Anoka County, Minnesota",69,30,20,17,12,29,18,27,23,15,39,58,35,25,93,93,11,38,38,17,25,93,93,93,93,93,93,93,93,93,93,93,93,93,93,16,26,93,93,93,93,71,17,16,93,93,93,93,93,93,93,93,19,93,93,12,46,43,32,56,26,19,11,18,19,93
"G27000300501091","2006-2010",,,"Minnesota","27","Anoka County","003",,,"050109","1",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 501.09, Anoka County, Minnesota",565,20,0,19,16,21,23,22,31,18,45,75,121,112,25,8,9,25,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,13,540,23,20,10,0,0,0,0,14,7,0,0,0,0,0,8,11,76,245,55,44,27,0,0,0,"Block Group 1, Census Tract 501.09, Anoka County, Minnesota",70,22,93,22,18,26,28,24,27,21,24,58,69,60,24,12,15,28,19,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,19,93,93,21,71,27,17,15,93,93,93,93,22,12,93,93,93,93,93,13,15,61,84,32,29,25,93,93,93
"G27000300501092","2006-2010",,,"Minnesota","27","Anoka County","003",,,"050109","2",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 501.09, Anoka County, Minnesota",359,0,0,0,0,13,0,19,0,31,38,33,51,88,40,36,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,359,0,0,0,0,0,0,0,13,0,0,0,0,0,0,10,35,88,70,93,13,26,11,0,0,"Block Group 2, Census Tract 501.09, Anoka County, Minnesota",67,93,93,93,93,17,93,21,93,30,28,30,35,72,30,27,16,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,67,93,93,93,93,93,93,93,21,93,93,93,93,93,93,15,30,58,29,60,16,24,19,93,93
"G27000300501093","2006-2010",,,"Minnesota","27","Anoka County","003",,,"050109","3",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 501.09, Anoka County, Minnesota",468,10,44,0,20,23,0,27,31,20,25,55,147,30,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,468,0,0,0,0,0,0,0,0,0,0,0,0,9,14,10,89,55,149,39,103,0,0,0,0,"Block Group 3, Census Tract 501.09, Anoka County, Minnesota",82,16,54,93,22,27,93,31,29,23,20,51,79,27,21,20,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,82,93,93,93,93,93,93,93,93,93,93,93,93,13,21,17,58,44,83,31,46,93,93,93,93
"G27000300501094","2006-2010",,,"Minnesota","27","Anoka County","003",,,"050109","4",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 4, Census Tract 501.09, Anoka County, Minnesota",299,10,0,10,0,10,10,10,21,0,8,92,78,22,9,10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,38,23,101,51,55,0,21,0,0,"Block Group 4, Census Tract 501.09, Anoka County, Minnesota",63,16,93,15,93,15,15,16,25,93,13,53,36,25,14,16,14,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,63,93,93,93,93,93,93,93,93,93,93,93,93,93,93,15,25,25,39,50,31,93,24,93,93
"G27000300501101","2006-2010",,,"Minnesota","27","Anoka County","003",,,"050110","1",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 501.10, Anoka County, Minnesota",524,15,2,0,0,0,19,12,12,47,36,28,136,92,52,47,26,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,522,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,104,68,130,47,129,29,0,0,0,"Block Group 1, Census Tract 501.10, Anoka County, Minnesota",79,23,9,93,93,93,20,20,21,36,31,25,58,66,37,34,29,9,9,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,9,93,93,82,93,93,93,93,93,93,93,93,93,93,93,93,93,23,93,72,44,56,36,56,27,93,93,93
"G27000300501102","2006-2010",,,"Minnesota","27","Anoka County","003",,,"050110","2",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 501.10, Anoka County, Minnesota",477,70,0,0,67,34,32,0,20,18,48,10,65,29,10,21,53,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,465,24,11,28,14,42,11,32,0,0,0,0,0,0,0,15,17,32,30,53,74,54,28,0,0,"Block Group 2, Census Tract 501.10, Anoka County, Minnesota",72,61,93,93,58,32,29,93,25,27,33,17,40,30,15,24,38,19,19,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,19,93,93,76,27,18,33,22,48,18,50,93,93,93,93,93,93,93,22,23,28,26,33,39,39,28,93,93
"G27000300501111","2006-2010",,,"Minnesota","27","Anoka County","003",,,"050111","1",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 501.11, Anoka County, Minnesota",525,10,10,0,11,23,0,19,15,12,73,70,91,108,63,11,9,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,515,0,0,0,13,0,0,0,0,0,0,0,12,0,0,0,32,29,116,119,130,52,12,0,0,"Block Group 1, Census Tract 501.11, Anoka County, Minnesota",69,15,16,93,17,24,93,22,22,19,45,44,55,49,41,18,13,15,15,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,15,93,93,93,71,93,93,93,19,93,93,93,93,93,93,93,18,93,93,93,24,26,57,50,51,33,18,93,93
"G27000300501112","2006-2010",,,"Minnesota","27","Anoka County","003",,,"050111","2",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 501.11, Anoka County, Minnesota",497,0,0,35,12,12,0,29,11,12,0,79,133,70,50,25,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,497,0,0,0,14,0,0,0,0,0,0,0,0,0,0,22,35,45,59,98,158,23,23,20,0,"Block Group 2, Census Tract 501.11, Anoka County, Minnesota",61,93,93,31,19,19,93,30,18,19,93,45,48,46,40,19,27,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,61,93,93,93,20,93,93,93,93,93,93,93,93,93,93,24,32,35,32,46,51,25,27,22,93
"G27000300501113","2006-2010",,,"Minnesota","27","Anoka County","003",,,"050111","3",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 501.11, Anoka County, Minnesota",264,33,0,0,0,22,0,21,39,0,0,22,73,33,9,0,12,61,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,32,203,0,0,0,0,0,0,0,12,0,0,0,0,0,37,11,0,30,60,0,30,0,23,0,0,"Block Group 3, Census Tract 501.11, Anoka County, Minnesota",58,30,93,93,93,32,93,25,34,93,93,25,52,31,13,93,17,55,45,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,45,93,93,35,55,93,93,93,93,93,93,93,19,93,93,93,93,93,35,18,93,27,42,93,29,93,26,93,93
"G27000300501141","2006-2010",,,"Minnesota","27","Anoka County","003",,,"050114","1",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 501.14, Anoka County, Minnesota",528,0,0,0,13,13,28,0,69,17,49,68,94,78,54,35,10,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,517,0,0,0,0,0,0,0,0,0,0,0,0,0,15,5,0,21,126,161,158,31,0,0,0,"Block Group 1, Census Tract 501.14, Anoka County, Minnesota",60,93,93,93,20,20,29,93,63,20,32,45,49,47,39,40,15,18,18,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,18,93,93,62,93,93,93,93,93,93,93,93,93,93,93,93,93,23,12,93,25,58,68,59,28,93,93,93
"G27000300501142","2006-2010",,,"Minnesota","27","Anoka County","003",,,"050114","2",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 501.14, Anoka County, Minnesota",456,0,0,0,27,0,50,33,69,12,43,17,66,53,21,46,19,44,44,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,76,32,38,144,66,7,38,0,0,"Block Group 2, Census Tract 501.14, Anoka County, Minnesota",59,93,93,93,29,93,40,39,47,18,38,19,39,30,22,36,23,34,34,93,93,25,93,93,93,93,93,93,93,93,93,93,93,93,93,93,22,93,93,93,93,50,93,93,93,93,93,93,93,93,93,93,93,93,93,93,19,46,29,32,56,39,15,28,93,93
"G27000300501151","2006-2010",,,"Minnesota","27","Anoka County","003",,,"050115","1",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 501.15, Anoka County, Minnesota",395,11,0,0,7,11,8,21,10,10,9,89,45,106,9,39,20,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,385,0,0,0,0,0,0,0,0,9,0,0,0,0,28,0,0,70,48,104,107,9,10,0,0,"Block Group 1, Census Tract 501.15, Anoka County, Minnesota",58,18,93,93,13,18,13,23,16,15,14,59,32,45,13,33,21,15,15,93,93,93,93,93,93,93,93,93,93,93,93,93,15,93,93,93,93,93,93,93,93,58,93,93,93,93,93,93,93,93,14,93,93,93,93,43,93,93,42,34,48,51,13,16,93,93
"G27000300501152","2006-2010",,,"Minnesota","27","Anoka County","003",,,"050115","2",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 501.15, Anoka County, Minnesota",456,10,28,0,11,23,0,22,18,50,30,20,93,88,28,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,456,0,11,0,0,0,0,0,0,0,0,0,0,0,0,11,21,21,86,77,137,53,39,0,0,"Block Group 2, Census Tract 501.15, Anoka County, Minnesota",62,16,44,93,17,25,93,25,21,27,28,22,48,42,27,28,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,62,93,18,93,93,93,93,93,93,93,93,93,93,93,93,17,23,18,56,43,56,33,30,93,93
