id,margin_of_error_not_hispanic_or_latino_white_alone,margin_of_error_total
271230411053,267,317
271230411061,200,202
271230411062,227,195
271230411071,312,387
271230411072,184,283
271230411073,205,226
271230411074,245,433
271230412001,258,327
271230412002,191,386
271230412003,178,305
271230413011,213,307
271230413012,178,182
271230413013,122,158
271230413021,209,259
271230413022,177,305
271230414001,299,296
271230414002,372,475
271230414003,318,414
271230414004,264,263
271230415001,252,272
271230415002,307,346
271230415003,238,248
271230416011,288,307
271230416012,221,351
271230416013,360,332
271230416021,195,252
271230416022,172,322
271230417001,184,208
271230417002,128,136
271230417003,173,235
271230418001,149,179
271230418002,173,224
271230418003,200,273
271230418004,100,125
271230419001,143,160
271230419002,165,174
271230419003,172,185
271230420011,136,169
271230420012,59,97
271230420021,114,156
271230420022,140,157
271230421011,362,431
271230421012,288,386
271230421013,256,258
271230421014,123,116
271230421021,275,289
271230421022,196,248
271230422011,123,126
271230422021,226,234
271230422022,241,443
271230422023,113,358
271230423011,134,233
271230423012,188,234
271230423021,185,291
271230423022,121,193
271230423023,118,316
271230423024,131,195
271230423025,124,250
271230424011,346,377
271230424012,411,411
271230424021,271,397
271230424022,222,231
271230424023,345,412
271230424024,219,268
271230425011,122,202
271230425012,261,405
271230425013,302,475
271230425014,184,302
271230425031,205,215
271230425032,120,122
271230425041,170,216
271230425042,235,275
271230426011,266,323
271230426012,224,290
271230426013,304,473
271230426021,141,195
271230426022,102,198
271230426023,91,204
271230427001,280,303
271230427002,296,414
271230427003,169,296
271230428001,84,118
271230428002,39,157
271230429001,216,232
271230429002,136,154
271230429003,217,218
271230429004,166,169
271230430001,280,293
271230430002,238,238
271230430003,280,272
271230430004,146,145
271230430005,198,215
271230430006,174,189
271239800001,9,9
