GEOID_BG,GEOID_TR,RID
270530266123,27053026612,454
270530266122,27053026612,12
270530266104,27053026610,481
270530266102,27053026610,481
270530266111,27053026611,53
270530266112,27053026611,481
270530262062,27053026206,19
270530262063,27053026206,167
270530262071,27053026207,635
270530262072,27053026207,635
270530262081,27053026208,157
270530263022,27053026302,552
270530263021,27053026302,635
270530263024,27053026302,552
270530264041,27053026404,81
270530265071,27053026507,129
270530265072,27053026507,639
270530265081,27053026508,224
270530265082,27053026508,6
270530265083,27053026508,687
270530265091,27053026509,6
270530265101,27053026510,224
271630704042,27163070404,258
270530265102,27053026510,224
270530265111,27053026511,689
270530267083,27053026708,174
270530267084,27053026708,174
270530267085,27053026708,584
270530267101,27053026710,693
270530267102,27053026710,399
270530267103,27053026710,399
270531104003,27053110400,480
270530266061,27053026606,307
270530266062,27053026606,82
270530266092,27053026609,131
270530266101,27053026610,406
270530267062,27053026706,536
270530267063,27053026706,536
270530267073,27053026707,631
270530267081,27053026708,291
270530267082,27053026708,174
270530267104,27053026710,249
270530267105,27053026710,28
270530267106,27053026710,693
270530267111,27053026711,121
270530267122,27053026712,121
270530216022,27053021602,217
270530265122,27053026512,639
270530265124,27053026512,129
270530265125,27053026512,491
270530265127,27053026512,129
270370606051,27037060605,292
270370608263,27037060826,466
270370604024,27037060402,264
270370601042,27037060104,145
270370601051,27037060105,220
270531052042,27053105204,469
270531056004,27053105600,446
270531256002,27053125600,229
270531109002,27053110900,598
270531115001,27053111500,595
270530260212,27053026021,102
270531044002,27053104400,588
270531260003,27053126000,630
270530117043,27053011704,606
270531105002,27053110500,65
270530266103,27053026610,613
270530264023,27053026402,150
270531048004,27053104800,554
270530249021,27053024902,159
270530265141,27053026514,12
270530261042,27053026104,157
270531064001,27053106400,554
270530269091,27053026909,431
270530268114,27053026811,124
270531057003,27053105700,85
270531057001,27053105700,85
270531052011,27053105201,469
270531025002,27053102500,497
270531255003,27053125500,352
270530267072,27053026707,162
270531016003,27053101600,239
270531259003,27053125900,363
270530265113,27053026511,224
270530268123,27053026812,70
270531048005,27053104800,369
271630710131,27163071013,308
271630703044,27163070304,671
271630714005,27163071400,500
271630703031,27163070303,424
271630709074,27163070907,576
270370607471,27037060747,309
270370607451,27037060745,321
270530259072,27053025907,508
270530259073,27053025907,378
270530259074,27053025907,378
270530260052,27053026005,393
270530260053,27053026005,157
270530260061,27053026006,270
270190903011,27019090301,530
270190909003,27019090900,83
270370608262,27037060826,537
270370607501,27037060750,226
270370608192,27037060819,335
270370609061,27037060906,396
270530260062,27053026006,267
270530260063,27053026006,228
270530260071,27053026007,157
270530260072,27053026007,157
270530260073,27053026007,267
270530260203,27053026020,696
270530260201,27053026020,412
270530260193,27053026019,59
270370601013,27037060101,286
270370601041,27037060104,387
270530217005,27053021700,394
270530260191,27053026019,241
270530260131,27053026013,658
270530260132,27053026013,658
270530260133,27053026013,164
270530260134,27053026013,699
270530260141,27053026014,200
270530269064,27053026906,618
270531009004,27053100900,558
270531257002,27053125700,168
270530260142,27053026014,164
270530260143,27053026014,200
270530260161,27053026016,377
270530260162,27053026016,59
270530218001,27053021800,1
270530218002,27053021800,1
270530219001,27053021900,194
270530219002,27053021900,590
270530219003,27053021900,217
270530229013,27053022901,505
270530230001,27053023000,505
270530230002,27053023000,340
270530230003,27053023000,353
270530231001,27053023100,628
270530231002,27053023100,694
270530232001,27053023200,141
270530232002,27053023200,141
270530232003,27053023200,141
270530232004,27053023200,4
270530233001,27053023300,589
270530233002,27053023300,4
270530222003,27053022200,217
270530222004,27053022200,223
270530222001,27053022200,514
270530223011,27053022301,514
270530223012,27053022301,514
270530223023,27053022302,141
270530224001,27053022400,52
270530224002,27053022400,255
270530224003,27053022400,477
270370610052,27037061005,400
270370608202,27037060820,380
270530233003,27053023300,4
270530234001,27053023400,340
270530234002,27053023400,573
270530234003,27053023400,573
270530234005,27053023400,634
270530235011,27053023501,353
270530235012,27053023501,353
270530235013,27053023501,353
270530235021,27053023502,575
270530235022,27053023502,355
270531037002,27053103700,296
270531093004,27053109300,633
270530227002,27053022700,505
270530228012,27053022801,580
270530235023,27053023502,573
270530235024,27053023502,355
270530235025,27053023502,160
270530236001,27053023600,411
270530236002,27053023600,411
270530236003,27053023600,694
270530237001,27053023700,411
270530237002,27053023700,527
270370609051,27037060905,366
271390809051,27139080905,92
271390811003,27139081100,380
270370602012,27037060201,387
270530237003,27053023700,318
270530237004,27053023700,355
270530238011,27053023801,313
270530238014,27053023801,521
270530238015,27053023801,521
270530238021,27053023802,643
270530238022,27053023802,527
270530239011,27053023901,523
270530239012,27053023901,370
270530239022,27053023902,160
270530239031,27053023903,191
270530239033,27053023903,305
270530240052,27053024005,15
270530240031,27053024003,155
270530240032,27053024003,404
270530240033,27053024003,155
270530240041,27053024004,155
270530241002,27053024100,502
270530242001,27053024200,274
270530242002,27053024200,274
270530242003,27053024200,274
270530243001,27053024300,274
270530243002,27053024300,274
270530244001,27053024400,274
270530244002,27053024400,274
270530246002,27053024600,311
270530246003,27053024600,311
270530247001,27053024700,571
270530247002,27053024700,571
270530247003,27053024700,571
270530248012,27053024801,510
270530245003,27053024500,510
270530248021,27053024802,571
270530249011,27053024901,571
270530249022,27053024902,126
270530251001,27053025100,710
270530251003,27053025100,151
270530252011,27053025201,151
270530252013,27053025201,151
270530252051,27053025205,710
270530252053,27053025205,697
270530252054,27053025205,151
270530252055,27053025205,646
270530253011,27053025301,38
270530253012,27053025301,38
270530253013,27053025301,38
270530253022,27053025302,115
270530217002,27053021700,522
270530217003,27053021700,522
270530216025,27053021602,432
270530217004,27053021700,522
270530228021,27053022802,629
270530228022,27053022802,629
270530229011,27053022901,61
270530253023,27053025302,38
270530254013,27053025401,435
270530254031,27053025403,435
270530254032,27053025403,44
270530256011,27053025601,242
270530256012,27053025601,242
270530256032,27053025603,276
270530256033,27053025603,79
270530256051,27053025605,294
270530256052,27053025605,472
270530256053,27053025605,276
270530256054,27053025605,472
270530257011,27053025701,144
270530257012,27053025701,47
270530257013,27053025701,47
270530257014,27053025701,47
270530257015,27053025701,84
270530257021,27053025702,17
270530257022,27053025702,185
270530257023,27053025702,185
270530257024,27053025702,17
270530258012,27053025801,34
270530258013,27053025801,34
270530258022,27053025802,553
270530258031,27053025803,144
270530258033,27053025803,144
270530258052,27053025805,144
270530258053,27053025805,553
270530259031,27053025903,144
270530259032,27053025903,144
270530259033,27053025903,144
270530259034,27053025903,144
270530259035,27053025903,47
270530259051,27053025905,59
270530259052,27053025905,59
270530259053,27053025905,420
270530259054,27053025905,59
270530259061,27053025906,246
270530259063,27053025906,246
270530259064,27053025906,246
270530259071,27053025907,246
271390802055,27139080205,256
271390802042,27139080204,92
271390803013,27139080301,238
271390811004,27139081100,645
271390801002,27139080100,237
271390802012,27139080201,66
271390809042,27139080904,92
271390809031,27139080903,23
271390807002,27139080700,280
270530260183,27053026018,542
270530261011,27053026101,4
270530261012,27053026101,4
270530261031,27053026103,4
271630714001,27163071400,148
271630712071,27163071207,357
271630705023,27163070502,258
271630705022,27163070502,258
271630705024,27163070502,247
271630706012,27163070601,247
271630706021,27163070602,258
271630706022,27163070602,37
271630712081,27163071208,143
271630712082,27163071208,357
271630712092,27163071209,500
271630713001,27163071300,25
271630713002,27163071300,148
271630701031,27163070103,41
271630707042,27163070704,247
271630709071,27163070907,62
271630709072,27163070907,62
271630712061,27163071206,148
271630709073,27163070907,67
271630709092,27163070909,235
271630709101,27163070910,602
271630709102,27163070910,42
271630710011,27163071001,42
271630710012,27163071001,686
271630710031,27163071003,148
271630710032,27163071003,148
271630710033,27163071003,148
271630710061,27163071006,681
271630710062,27163071006,42
270370609042,27037060904,366
270370606042,27037060604,452
270370608174,27037060817,273
270370605032,27037060503,25
270370601011,27037060101,494
270370605024,27037060502,110
271630703011,27163070301,284
271630712083,27163071208,357
271630701032,27163070103,368
271630701033,27163070103,368
271630701034,27163070103,368
271630701041,27163070104,368
271630701042,27163070104,368
271630701052,27163070105,215
271630701062,27163070106,41
271630701063,27163070106,215
270190907012,27019090701,520
270190907011,27019090701,520
270530095001,27053009500,382
270530210015,27053021001,31
270530202004,27053020200,362
270530277004,27053027700,137
270530256034,27053025603,661
270530276012,27053027601,137
270531097003,27053109700,594
270530252012,27053025201,435
270531064002,27053106400,649
270530117033,27053011703,408
270530273001,27053027300,552
270530262082,27053026208,635
270530266093,27053026609,12
270530267074,27053026707,684
270530268092,27053026809,287
270530268154,27053026815,260
270530258032,27053025803,553
270530206002,27053020600,302
270530277003,27053027700,137
270530027002,27053002700,409
270531108001,27053110800,692
270531093003,27053109300,633
270530121011,27053012101,509
270530238013,27053023801,527
270530068002,27053006800,496
270530268073,27053026807,713
270530221022,27053022102,477
270531007004,27053100700,503
270531048002,27053104800,369
271230346022,27123034602,316
271230430005,27123043000,187
271230426012,27123042601,62
271230365002,27123036500,236
271230424021,27123042402,62
271230428001,27123042800,2
271230315001,27123031500,128
271230342011,27123034201,43
271230342023,27123034202,43
271230428002,27123042800,43
271230330001,27123033000,128
271230344001,27123034400,43
271230372004,27123037200,69
271230342022,27123034202,2
271230430001,27123043000,187
271230430006,27123043000,169
271239800001,27123980000,-999
271230346011,27123034601,139
271230374021,27123037402,93
271230425014,27123042501,195
271230425013,27123042501,195
271230349001,27123034900,586
271230376021,27123037602,103
271230376024,27123037602,709
271230346023,27123034602,316
271230346013,27123034601,139
271230426013,27123042601,67
271230346021,27123034602,375
271230427002,27123042700,67
271230322001,27123032200,442
271230306012,27123030601,278
271230335001,27123033500,63
271230422011,27123042201,381
271230307022,27123030702,120
271230371003,27123037100,464
271230316002,27123031600,97
271230346012,27123034601,316
271230310001,27123031000,140
271230409011,27123040901,475
271230350002,27123035000,704
271230414002,27123041400,118
271230331001,27123033100,587
271230401003,27123040100,336
271230406011,27123040601,156
270530217001,27053021700,621
270530216024,27053021602,432
271230360001,27123036000,43
271230332001,27123033200,365
271230366001,27123036600,266
271230367001,27123036700,557
271230425031,27123042503,686
271230370002,27123037000,464
271230369002,27123036900,518
271230425041,27123042504,158
271230405032,27123040503,471
271230406045,27123040604,127
271230406042,27123040604,127
271230416011,27123041601,405
271230408031,27123040803,653
271230407031,27123040703,405
271230409022,27123040902,315
271230411072,27123041107,419
271230416013,27123041601,76
271230420021,27123042002,198
271230421014,27123042101,214
271230421022,27123042102,460
271230423012,27123042301,460
271230317024,27123031702,597
271230421013,27123042101,111
271230422021,27123042202,325
271230403023,27123040302,471
271230404022,27123040402,245
271230411074,27123041107,202
271230413012,27123041301,395
271230317011,27123031701,97
271230358001,27123035800,134
271230321002,27123032100,442
271230430002,27123043000,376
271230429002,27123042900,175
271230429004,27123042900,364
271230429003,27123042900,146
271230347021,27123034702,375
271230351001,27123035100,236
271230332002,27123033200,376
271230357002,27123035700,364
271230333001,27123033300,600
271230318022,27123031802,423
271230318023,27123031802,423
271230318024,27123031802,423
271230319001,27123031900,376
271230319002,27123031900,229
271230320001,27123032000,376
271230320002,27123032000,231
271230320003,27123032000,231
271230322003,27123032200,465
271230323001,27123032300,442
271230323002,27123032300,465
271230323003,27123032300,465
271230323004,27123032300,465
271230324001,27123032400,465
271230325001,27123032500,465
271230325003,27123032500,465
271230326001,27123032600,68
271230337001,27123033700,134
271230338002,27123033800,373
271230340001,27123034000,134
271230344002,27123034400,427
271230345001,27123034500,316
271230345003,27123034500,99
271230326003,27123032600,676
271230347012,27123034701,375
271230347013,27123034701,93
271230347022,27123034702,330
271230347023,27123034702,158
271230349002,27123034900,610
271230350003,27123035000,624
271230351002,27123035100,610
271230352001,27123035200,413
271230353003,27123035300,364
271230353002,27123035300,266
271230424011,27123042401,62
271230424012,27123042401,519
271230425012,27123042501,330
271230425011,27123042501,423
271230425042,27123042504,534
271230427001,27123042700,67
271230307033,27123030703,86
271230342021,27123034202,43
271230374023,27123037402,93
271230376023,27123037602,73
271230429001,27123042900,364
271230425032,27123042503,686
271230355001,27123035500,146
271230355002,27123035500,146
271230357001,27123035700,429
271230358003,27123035800,429
271230359001,27123035900,43
271230360002,27123036000,64
271230361001,27123036100,416
271230363001,27123036300,610
271230363002,27123036300,169
271230363003,27123036300,169
271230363004,27123036300,421
271230364004,27123036400,695
271230370003,27123037000,402
271230370004,27123037000,464
271230371001,27123037100,611
271230371005,27123037100,620
271230372001,27123037200,495
271230372002,27123037200,69
271230372005,27123037200,69
271230374022,27123037402,139
271230374031,27123037403,93
271230374032,27123037403,93
271230374033,27123037403,139
271230374034,27123037403,534
271230374035,27123037403,139
271230375001,27123037500,73
271230375002,27123037500,572
271230375005,27123037500,572
271230376011,27123037601,285
271230401005,27123040100,403
271230402001,27123040200,94
271230403012,27123040301,74
271230403021,27123040302,424
271230403022,27123040302,105
271230404011,27123040401,245
271230404012,27123040401,105
271230404013,27123040401,105
271230404021,27123040402,245
271230405021,27123040502,545
271230405031,27123040503,277
271230407042,27123040704,405
271230412001,27123041200,474
271230317021,27123031702,597
271230302012,27123030201,535
271230430003,27123043000,169
271230364001,27123036400,169
271230402002,27123040200,545
271230405041,27123040504,456
271230405042,27123040504,386
271230406012,27123040601,277
271230406031,27123040603,277
271230406032,27123040603,652
271230407051,27123040705,227
271230407052,27123040705,227
271230407062,27123040706,227
271230407063,27123040706,227
271230407072,27123040707,298
271230407073,27123040707,298
271230408011,27123040801,354
271230408012,27123040801,354
271230408032,27123040803,341
271230408033,27123040803,250
271230408034,27123040803,250
271230409012,27123040901,475
271230409021,27123040902,315
271230410011,27123041001,315
271230411071,27123041107,29
271230411073,27123041107,419
271230412002,27123041200,474
271230412003,27123041200,474
271230413011,27123041301,453
271230413013,27123041301,453
271230413021,27123041302,341
271230413022,27123041302,202
271230414001,27123041400,0
271230414004,27123041400,653
271230415001,27123041500,72
271230415002,27123041500,524
271230415003,27123041500,0
271230416012,27123041601,76
271230416021,27123041602,381
271230416022,27123041602,205
271230422022,27123042202,325
271230422023,27123042202,460
271230423011,27123042301,460
271230423023,27123042302,212
271230423024,27123042302,325
271230423025,27123042302,566
271230426021,27123042602,216
271230426022,27123042602,67
271230427003,27123042700,67
271230364003,27123036400,565
271230365003,27123036500,153
271230366003,27123036600,578
271230366004,27123036600,152
271230367002,27123036700,218
271230367003,27123036700,218
271230367004,27123036700,218
271230368001,27123036800,557
271230368002,27123036800,557
271230369001,27123036900,518
271230376012,27123037601,421
271230376013,27123037601,421
271230376022,27123037602,218
271230401001,27123040100,130
271230401002,27123040100,336
271230401004,27123040100,403
271230406033,27123040603,277
271230406041,27123040604,519
271230406043,27123040604,437
271230406044,27123040604,347
271230407033,27123040703,127
271230407032,27123040703,433
271230407041,27123040704,405
271230410021,27123041002,315
271230411031,27123041103,29
271230411032,27123041103,9
271230411041,27123041104,135
271230411051,27123041105,327
271230411053,27123041105,327
271230411061,27123041106,476
271230411062,27123041106,29
271230417001,27123041700,205
271230417002,27123041700,205
271230417003,27123041700,524
271230418003,27123041800,453
271230419002,27123041900,535
271230419003,27123041900,395
271230420011,27123042001,395
271230420012,27123042001,176
271230420022,27123042002,395
271230421011,27123042101,214
271230421012,27123042101,214
271230421021,27123042102,214
270370606031,27037060603,166
270030502251,27003050225,384
270030501101,27003050110,656
270030508051,27003050805,22
270030502322,27003050232,324
270030506081,27003050608,263
270030508113,27003050811,248
270030508054,27003050805,346
270030505042,27003050504,700
271230305002,27123030500,278
271230312001,27123031200,30
271230316003,27123031600,97
271230375004,27123037500,421
271230307032,27123030703,75
271230418004,27123041800,549
271230318012,27123031801,569
271230318013,27123031801,569
271230318021,27123031802,120
271230307043,27123030704,86
271230426023,27123042602,216
271230330002,27123033000,128
271230325004,27123032500,465
271230327002,27123032700,68
271230331002,27123033100,668
271230333002,27123033300,365
271230327001,27123032700,68
271230334001,27123033400,484
271230334003,27123033400,413
271230335002,27123033500,484
271230335003,27123033500,63
271230336001,27123033600,484
270531261004,27053126100,87
270530227003,27053022700,300
270530227001,27053022700,194
270530260181,27053026018,542
270530267151,27053026715,568
270530269093,27053026909,431
270530228011,27053022801,580
270531259002,27053125900,533
270530260151,27053026015,283
270530258011,27053025801,352
270530204001,27053020400,374
270530001022,27053000102,361
271390804003,27139080400,163
271390805001,27139080500,290
271390806001,27139080600,290
270531041001,27053104100,512
270531051001,27053105100,468
270531065002,27053106500,222
270531262002,27053126200,87
270531055003,27053105500,222
270531056003,27053105600,180
270531040002,27053104000,229
270531062001,27053106200,554
270531092001,27053109200,379
270531092003,27053109200,303
271390809041,27139080904,714
271390809043,27139080904,23
271390809061,27139080906,92
271390809063,27139080906,256
271390802021,27139080202,112
271390809053,27139080905,112
271390802033,27139080203,80
271390802022,27139080202,66
270530241001,27053024100,502
270530214001,27053021400,254
270530221012,27053022101,194
270530220001,27053022000,194
270530264024,27053026402,293
270531065001,27053106500,629
270531091002,27053109100,504
270530261043,27053026104,425
270530240051,27053024005,15
270530240061,27053024006,60
270530245002,27053024500,274
270530249032,27053024903,126
271390802031,27139080203,256
271390802032,27139080203,132
271390802034,27139080203,80
271390803011,27139080301,66
270030502101,27003050210,627
270530251002,27053025100,151
270530257025,27053025702,17
270530265051,27053026505,12
270530265052,27053026505,428
270530266114,27053026611,53
270530266113,27053026611,53
